Unnamed: 0,Comment,id,date,Pos,Neg,Neu,Car brand,sentiment_score
302,"Every review about these alfas they always complain about the infotainment but the thing is, if you're getting an alfa for the infotainment you're doing it wrong  that's not what it's about. It holds up perfectly well with modern equipment but it excels in its driving characteristic that's why you get an alfa","
 @berzerker790
 ",1 year ago,0.197,0.088,0.715,Alfa Romeo,4
303,I'm surprise you haven't done a video on the f pace!!!,"
 @rocko2londonrocko2london76
 ",2 years ago,0.271,0.0,0.729,Alfa Romeo,5
304,sounds amazing,"
 @thabsmashego676
 ",2 years ago,0.792,0.0,0.208,Alfa Romeo,5
305,This is my dream car. First purchase if I won the lottery is one of these and the Guilia QDF,"
 @callumfreear9289
 ",2 years ago,0.251,0.0,0.749,Alfa Romeo,5
306,"When he said ""che cazzo"" i exploaded laughing AHAHHAHHAH","
 @leonardovigotti2653
 ",2 years ago,0.314,0.0,0.686,Alfa Romeo,1
307,Great video very inspiring somehow,"
 @ranbirbhatia1585
 ",2 years ago,0.706,0.0,0.294,Alfa Romeo,5
308,I still think the Jaguar F Pace SVR sounds a lot better and has a much luxurious interior for almost the same price.,"
 @mansees
 ",2 years ago,0.139,0.0,0.861,Alfa Romeo,3
309,"The Maserati Levante has a much smaller boot, 320 lt., same size as a VW Polo","
 @riccardotaccolinimoncosi7435
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,3
310,I want to see Lamborghini Urus (with Yanny inside) vs Maserati Levante Trofeo vs Alfa Romeo Stelvio Quadrifoglio in a full Italian fast SUV drag race.,"
 @97napolitano
 ",2 years ago,0.052,0.075,0.873,Alfa Romeo,4
311,"My gmc sierra makes the same noise when the parking brake gets engaged, except its wayyy deeper. Still like this weird noise I can’t explain. Maybe it’s cause they are both heavy vehicles? I don’t know","
 @goodcopbadcop7438
 ",2 years ago,0.137,0.049,0.814,Alfa Romeo,2
312,can seee why JEREMY CLARKSON loves it so much now ,"
 @indianhorsepower9648
 ",2 years ago,0.291,0.0,0.709,Alfa Romeo,5
313,Mat let’s drag race this with My X3M competition and a GLC 63S and maybe an F Pace SVR.....,"
 @amarakian1664
 ",2 years ago,0.0,0.106,0.894,Alfa Romeo,5
314,It sounds awsome!!!,"
 @d-thec-tieve4648
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,1
315,' and this is carwow and this is how we roll'.      ,"
 @ka5imx215
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,5
316,"Would love to see 3 way test, RS6-AMG “S”-BMW Alpina B5 Touring","
 @johnmackay5288
 ",2 years ago,0.296,0.0,0.704,Alfa Romeo,4
317,I like how it's faster than an AMG SLS GT LOL,"
 @ZeroG
 ",1 year ago,0.559,0.0,0.441,Alfa Romeo,4
318,"I'm Italian, when you say ""che cazzo"" I thought I was dying","
 @andreapicello2235
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,1
319,"Doesn’t matter how much you dress up an SUV, you’ll never turn a care home into a brothel.","
 @camwat5193
 ",2 years ago,0.062,0.148,0.79,Alfa Romeo,2
320,New editing style is much better. Good job.,"
 @SuperAZERTY10
 ",2 years ago,0.492,0.0,0.508,Alfa Romeo,4
321,"3.6s for 510hp 
Crazy","
 @adewijaya8155
 ",2 years ago,0.0,0.444,0.556,Alfa Romeo,5
322,"Haha “I’m a race car” reference, love it","
 @xkjagxk
 ",2 years ago,0.59,0.0,0.41,Alfa Romeo,5
323,Love this car,"
 @psychogobetween
 ",2 years ago,0.677,0.0,0.323,Alfa Romeo,5
324,"6:54 
The most worthy reason to subscribe this channel 
I'd say perfect accent xd","
 @Lutz_Wig
 ",2 years ago,0.493,0.0,0.507,Alfa Romeo,5
325,This car is essentially a prequel to the upcoming Ferrari Purosangue.,"
 @revelare_xvii6269
 ",1 year ago,0.0,0.0,1.0,Alfa Romeo,4
326,I hate the way the front plates are placed to the side on all Alfa's due to the front facia. In Florida front plates don't need to be fastened by law like in UK. Oh and did I mention the weather sucks here.,"
 @keylimepie210
 ",2 years ago,0.054,0.133,0.814,Alfa Romeo,2
327,Forza Italia Alfa Romeo ,"
 @fl2o74
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,5
328,Drilled rotors are old school. Slotted are better if you're going to go that route...,"
 @optikalillusion777
 ",7 months ago,0.172,0.0,0.828,Alfa Romeo,3
329,"Great vid ,, thanks mate ","
 @AK-vk6wg
 ",1 year ago,0.7,0.0,0.3,Alfa Romeo,5
330,We are still waiting for that doug demuro collab,"
 @duck8508
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,4
331,"Love all the comments about the Alfas reliability, really makes me laugh. CarWow did a video about reliability and the Germans were some of the worst offenders. On top of that Alfas reliability issues were founded on older models and not the newer cars. Had a Giulia Veloce for 2 years and the only issue I had is a sqeak in the steering rack which was down to a spring coming loose. Had a Giulia Quadrifoglio for nearly 2 years and only issue I've had is the tyres wear too quickly because of all the fun I have!","
 @pentegal
 ",2 years ago,0.129,0.085,0.786,Alfa Romeo,2
332,Can somebody please order this car via CarWow ASAP so Matt can buy some new trainers?,"
 @sheenodj
 ",2 years ago,0.133,0.0,0.867,Alfa Romeo,1
333,Wow Mat!  75k for an Alfa???,"
 @labourlawact7826
 ",2 years ago,0.481,0.0,0.519,Alfa Romeo,1
334,I love the noise so so sweet !,"
 @MrGarethDHughes
 ",2 years ago,0.685,0.0,0.315,Alfa Romeo,5
335,PLS do some off roading in SUV tests,"
 @jmhofmeyr
 ",2 years ago,0.225,0.0,0.775,Alfa Romeo,3
336,"Is it possible to find a review of an Alfa Romeo, with someone that just appreciates the car and the brand without constantly making lame jokes about past stuff and Italians? Its kinda funny but it's also getting old","
 @Disc1
 ",2 years ago,0.173,0.0,0.827,Alfa Romeo,3
337,Hi Matt. Can you do a video of the new 2021 Epace please. Thanks,"
 @jamesjefferies4163
 ",2 years ago,0.321,0.0,0.679,Alfa Romeo,5
338,I get why Jeremy Clarkson loves Alfa's so much.,"
 @axem.8338
 ",2 years ago,0.346,0.0,0.654,Alfa Romeo,5
339,i love this car man,"
 @saphayr
 ",2 years ago,0.583,0.0,0.417,Alfa Romeo,5
340,"That fuel tank capacity is terrible. My 2.2 Auris has 65 liters as well, and that does 40mpg!","
 @lilPOPjim
 ",2 years ago,0.098,0.158,0.744,Alfa Romeo,1
341,This car always makes me remember Jeremy clarkson!,"
 @noobgog8602
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,5
342,7:10 ,"
 @adityamore2804
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,5
343,It sounds amazinggg...,"
 @krishnakanthkarimaddula1521
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,5
344,"This vs Macan GTS, I would really like to see who's the champ.","
 @denisbaraniak9715
 ",2 years ago,0.371,0.0,0.629,Alfa Romeo,4
345,Matt you need to drag race and review a B8.5 Audi RS5,"
 @vongaishenyakunika5790
 ",2 years ago,0.0,0.16,0.84,Alfa Romeo,5
346,Looks so good!,"
 @OHSHIT6969
 ",2 years ago,0.635,0.0,0.365,Alfa Romeo,5
347,"James May once said "" Alfa Romeo purveyors of disappointment for nearly three decades"" ","
 @borntowild480
 ",2 years ago,0.0,0.216,0.784,Alfa Romeo,1
348,Greetings from Italy! 🇮🇹,"
 @samueleloi5876
 ",2 years ago,0.508,0.0,0.492,Alfa Romeo,5
349,This vehicle is sensational for awesome mid life crisis people,"
 @Lyko941
 ",2 years ago,0.253,0.253,0.494,Alfa Romeo,5
350,"2nd best sounding V6
First being the f-type ofcourse","
 @jdb7791
 ",2 years ago,0.344,0.0,0.656,Alfa Romeo,5
351,First thing to do.. Lower it 50mm,"
 @heinedenmark
 ",1 year ago,0.0,0.268,0.732,Alfa Romeo,5
352,"Matt , tried to carwow this and max discount is 6k. I wonder how you managed 12k on your video.","
 @yankie1983
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,1
353,race that alfa against the x3m or x4m!,"
 @tommyoliva6697
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,5
354,"7:17 that cartoon is pingu, good memories","
 @thelowcarenthusiast5015
 ",2 years ago (edited),0.326,0.0,0.674,Alfa Romeo,5
355,Its so gorgeous!!!,"
 @marvinlopez5217
 ",2 years ago,0.721,0.0,0.279,Alfa Romeo,5
356,"Perfect all-rounder, can I have one in the Red Tri-paint please?","
 @mateenio2186
 ",2 years ago,0.429,0.0,0.571,Alfa Romeo,5
357,My dream car up to 100k euros.,"
 @virxest
 ",2 years ago,0.25,0.0,0.75,Alfa Romeo,5
358,"When will u do a review on Genesis series, specially gv80 and gv70?? Please mat","
 @billyc2730
 ",2 years ago (edited),0.181,0.0,0.819,Alfa Romeo,1
359,Handles well. Light. good brakes. Still no towbar. No launch control. No virtual dash type and no dual clutch.  And if hybrid would have better fuel economy,"
 @toneskill
 ",2 years ago,0.215,0.24,0.545,Alfa Romeo,4
360,"Investing in crypto now should be in every wise individuals list, in some months time you'll be ecstatic with the decision you made today.","
 @sandrabliss7646
 ",2 years ago,0.225,0.0,0.775,Alfa Romeo,5
361,"2:19 socks matching brake calipers. In auto journalism, it doesn't get any more professional than that","
 @pauliuspariokas3156
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,3
362,"If you buy it, you will need a back up car for the umpteen times its back in the workshop. I've had nowt but trouble with Alfa's. Great cars otherwise.","
 @man-of-the-world
 ",2 years ago,0.156,0.098,0.746,Alfa Romeo,3
363,20yrs ago if you'd told me that a V6 turbo would be making 500hp I'd a laughed you our the door.... ,"
 @genemounce8302
 ",2 years ago,0.143,0.0,0.857,Alfa Romeo,1
364,Overall the video seems more subtle than before,"
 @ricemagician
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,3
365,I love it when u say go right ahead and buy,"
 @sukhdeepsinghsaini
 ",2 years ago,0.344,0.0,0.656,Alfa Romeo,5
366,People will be kicking themselves in few weeks if they miss the opportunity to buy and invest in crypto,"
 @textme4423
 ",2 years ago,0.131,0.075,0.794,Alfa Romeo,3
367,Mat can you please do a drag race against the McLaren p1 vs Koenigegg Regera and if the McLaren loses please get a surprise racer maybe something like a rimac concept 2 or a bugatti chiron,"
 @shantiburra7477
 ",2 years ago (edited),0.24,0.109,0.651,Alfa Romeo,3
368,Bellissima!!!,"
 @JU29VER0
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,5
369,I really want to know the reliability of this car,"
 @bagussugiono1583
 ",2 years ago,0.166,0.0,0.834,Alfa Romeo,5
370,Stop distance correction -3. It is a know fact Matt cant break properly…,"
 @AmpPum4
 ",2 years ago,0.0,0.167,0.833,Alfa Romeo,1
371,"how you manage get all the cars and upload video like every day, great work","
 @sanadsalem8201
 ",2 years ago,0.337,0.0,0.663,Alfa Romeo,5
372,"Investing in crypto now should be in every wise individuals list, in some months time you'll be ecstatic with the decision you made today.","
 @austinjordan9949
 ",2 years ago,0.225,0.0,0.775,Alfa Romeo,5
373,MAT !!!!  it has 510ps which equates to 503 bhp,"
 @Bigbry8888
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,1
374,Just not in the same league as the X3/X5M competition or the Amg GLC/GLE 63s.,"
 @johnmeyer8370
 ",1 year ago,0.0,0.0,1.0,Alfa Romeo,3
375,3:19 didn't expect that lol,"
 @avrillachain
 ",2 years ago,0.0,0.368,0.632,Alfa Romeo,3
376,"10:58 ""This is a special car, it really isn't."" 

Is it special or not Matt?","
 @maxlatupeirissa353
 ",2 years ago,0.31,0.0,0.69,Alfa Romeo,1
377,Perfect 2 car garage Giulia QV GTAm (2 seater) and Stelvio QV..,"
 @roskataqv
 ",2 years ago,0.27,0.0,0.73,Alfa Romeo,5
378,"In few months or so, people will definitely be kicking themselves in regrets for missing the opportunity to buy and invest in cryptocurrency","
 @asxinvestor1180
 ",2 years ago,0.196,0.16,0.645,Alfa Romeo,2
379,Matt please review the Bajaj Qute and tell us what you think,"
 @wandilenzimande5459
 ",2 years ago,0.173,0.0,0.827,Alfa Romeo,5
380,when is an in depth review of the 2021 Jaguar F pace going to be done,"
 @onelejongihlathi9532
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,4
381,It looks great but I drove it and it’s just too high up :(,"
 @gabrielflores1149
 ",2 years ago,0.147,0.221,0.632,Alfa Romeo,3
382,Gorgeous!!!!,"
 @biseruk
 ",9 months ago,0.0,0.0,1.0,Alfa Romeo,5
383,Macan Turbo still above all!,"
 @DoomEB
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,5
384,Investing in Bitcoin and crypto currency is the   investment anyone can do this season because it has made a lot of people millionaires,"
 @johnburleson7806
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,5
385,"Bravo mat! lo Stelvio QV è il miglior SUV al mondo….cazzarola
Good job mat! Stelvio QV is the best suv in the world….cazzarola is not transatable ;)","
 @lucabandini6769
 ",2 years ago,0.238,0.051,0.711,Alfa Romeo,5
386,"Mat you are part of my family every day i see u which is more than im seeing my gf #bestever 
 #carwow","
 @saranvj8406
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,5
387,I think I am a fan of this car...don't know how,"
 @Energy12ful
 ",2 years ago,0.247,0.0,0.753,Alfa Romeo,5
388,"I think it's great it has no launch control. It's an actual proper 0-60 time, not using electronics to ""trick"" the clock. It's a pointless measurement anyway.","
 @pastorofmuppets8834
 ",2 years ago (edited),0.14,0.075,0.785,Alfa Romeo,5
389,The SUV that drives like a sedan,"
 @newslane9693
 ",2 years ago,0.333,0.0,0.667,Alfa Romeo,5
390,1,"
 @HughRussell06
 ",2 years ago,0.0,0.0,0.0,Alfa Romeo,5
391,I love it ,"
 @Sezalize
 ",2 years ago,0.808,0.0,0.192,Alfa Romeo,5
392,Great  review & where was this filmed & I am thinking this was the old RAF Abingdon?,"
 @SMX815
 ",2 years ago,0.24,0.0,0.76,Alfa Romeo,5
393,"Oversized, I'd take Giulia or Giulietta any day before this.","
 @petarmaksimovic4048
 ",1 year ago,0.0,0.0,1.0,Alfa Romeo,2
394,Matt.....How can you recommend a vehicle you just know will breakdown as soon as you drive it off the forecourt,"
 @darrenfitch
 ",2 years ago,0.122,0.0,0.878,Alfa Romeo,1
395,"Mat, you forgot to mention the optional wireless charging pad...","
 @LM-oh3vw
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,3
396,"Maserati and Alfa just keep making each other look awkward, too similar with each other","
 @cyf1434568100
 ",2 years ago,0.0,0.103,0.897,Alfa Romeo,2
397,"Please please please review more cars that aren't German like this. Refreshing to not see a VAG, BMW or Mercedes product","
 @swanblake
 ",2 years ago (edited),0.276,0.084,0.64,Alfa Romeo,1
398,"So, what you wanted to say is... it's not as good as BMWs iDrive?","
 @nonamewatchamacallit7828
 ",2 years ago,0.0,0.156,0.844,Alfa Romeo,3
399,"How dare you insult the great darth Vader fez mask, palpatine spent a whole 10 minutes designing that ","
 @marcusisgood911
 ",2 years ago,0.183,0.147,0.67,Alfa Romeo,1
400,Hey mat could you please do the new Kia Sorento my dad is relying on you before he gets one ,"
 @denz6196
 ",2 years ago,0.094,0.171,0.735,Alfa Romeo,1
401,If only we could drive alfas without front license plate :(,"
 @hawk_bl
 ",2 years ago,0.0,0.225,0.775,Alfa Romeo,3
402,The only carreviewer I actually like.,"
 @Jusher41
 ",2 years ago,0.385,0.0,0.615,Alfa Romeo,5
403,This stopped quicker than 911 GT3 RS,"
 @rakeshnellekeri8661
 ",2 years ago,0.0,0.241,0.759,Alfa Romeo,1
404,"2:36 matt wearing glasses  
Remove glasses  when riding the car 
","
 @gotz7919
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,1
405,And that's how I roll,"
 @titaskoskus750
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,5
406,Alfa Romeo ,"
 @timewarpman.2859
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,5
407,mat with glasses and a stubble is such a daddy,"
 @branclooster
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,5
408,8:36 That made my day!,"
 @LM-oh3vw
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,5
409,"Just don’t get Alfa, interior is still last gen and the pricing is optimistic hence the £12k discount. Looks are nothing special,  sort of reminds me is a Mazda but do like the wheels. Can’t argue with the performance or that engine but not a place that I would put my own money, perhaps an interesting used prospect accompanied by a large bottle of brave pills.","
 @stephencollins7714
 ",2 years ago,0.21,0.063,0.728,Alfa Romeo,3
410,Thank you for the chapters in description,"
 @Choda7777
 ",2 years ago,0.294,0.0,0.706,Alfa Romeo,5
411,Es el único SUV que compraría,"
 @alexbianchi685
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,1
412,Matt please review the JEEP SRT!!!,"
 @akshayraveendran6820
 ",2 years ago,0.388,0.0,0.612,Alfa Romeo,5
413,11:20 That's one finished left rear tire,"
 @Reindrikfredfeldt
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,1
414,Matt you were in High Wycombe! Great review.,"
 @ibraheemafzal198
 ",2 years ago,0.386,0.0,0.614,Alfa Romeo,5
415,How come you guys haven’t done a video yet on the new Ford F-150 lightning?,"
 @HughRussell06
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,5
416,"Not bad if I was buying a 75k SUV I would like better tech, interior quality. I go for X3mC","
 @davidc4589
 ",2 years ago,0.388,0.0,0.612,Alfa Romeo,3
417,0 - 60 3.6s Mat casually says good init for a SUV. ffs my 911CS stuggled to do it in that.,"
 @tonysanderson7741
 ",2 years ago,0.197,0.162,0.641,Alfa Romeo,3
418,The three omniscient guys from the real Top Gear said it: You are not a real Petrolhead until you bought an Alfa. The problem is a real Petrolhead would never buy an Alfa.,"
 @Pennergon
 ",2 years ago,0.054,0.081,0.866,Alfa Romeo,1
419,Best looking cars ever made,"
 @gunnargeroy8406
 ",2 years ago,0.512,0.0,0.488,Alfa Romeo,5
420,"Note to editor: The new cut into Matt's face angles using the same camera,  just cropped, looks weird and makes Matt's face look stretched and skewed","
 @presidenttrump2089
 ",2 years ago,0.0,0.137,0.863,Alfa Romeo,2
421,Best looking cars ever made,"
 @gunnargeroy8406
 ",2 years ago,0.512,0.0,0.488,Alfa Romeo,5
422,I love mats accents,"
 @rapidabdul5050
 ",2 years ago,0.677,0.0,0.323,Alfa Romeo,5
423,My father really likes this car. I'm going to make him it like a present in the future),"
 @lyubomyrshvets9662
 ",2 years ago,0.272,0.0,0.728,Alfa Romeo,5
424,It sounds so epic..,"
 @rickety45
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,5
425,"Cool car, like the Quadrifilioetcetc, but i cant help noticing many dials n gear levers that beemerish ....","
 @conned
 ",2 years ago,0.176,0.15,0.674,Alfa Romeo,4
426,"I hate SUVs, but the Stelvio is the only SUV I would consider buying","
 @jp11mralfa
 ",2 years ago,0.0,0.176,0.824,Alfa Romeo,3
427,Alfa baby! ,"
 @alexberry7230
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,5
428,Alfa just wants to encourage the drivers to put the car in race mode. That's why the exhaust sounds lame in normal,"
 @TheAshPriyam
 ",2 years ago,0.121,0.183,0.696,Alfa Romeo,3
429,"Thats not true with the exhaust, on the new body's you can customize Dynamic mode so the exhaust valves do open","
 @rafikminasyan3363
 ",2 years ago,0.099,0.256,0.646,Alfa Romeo,2
430,Italian magnificence !,"
 @martel7322
 ",1 year ago,0.787,0.0,0.213,Alfa Romeo,5
431,"Dont like suv,but this one...,sound..dont even want to comment at all,all who love drive relative fast know what i mean","
 @AS-un8ks
 ",1 year ago,0.233,0.089,0.678,Alfa Romeo,3
432,"Ahahahaha what’s a QV, Mat?

Do you just not understand how Quadrifoglio is spelt?

Good journalisting again there, Mat! ","
 @KissTheGreat
 ",2 years ago,0.173,0.0,0.827,Alfa Romeo,3
433,Beautiful car,"
 @Ashwin-zg7rt
 ",2 years ago,0.796,0.0,0.204,Alfa Romeo,5
434,GLORIOUS !!,"
 @671021
 ",2 years ago,0.847,0.0,0.153,Alfa Romeo,5
435,"Whenever i see these silly rapid SUVs i think how much better it would be, in every conceivable way, if it was a normal saloon/hatch/estate. It would be quicker accelerating, braking, better handling, faster top speed, better mpg etc. It would make a far better drivers car. When will this obssession with SUVs end?","
 @davekennedy6315
 ",2 years ago,0.248,0.0,0.752,Alfa Romeo,2
436,The Best SUV!,"
 @shonelazo5826
 ",2 years ago,0.692,0.0,0.308,Alfa Romeo,5
437,High Wycombe is quite an unremarkable place,"
 @philauguste7310
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,3
438,Wonderfull car....,"
 @tiagorossotto572
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,5
439,"I’d rather get an AUDI RSQ3 and save £20k for Mods, etc.","
 @hashbro7863
 ",2 years ago,0.225,0.0,0.775,Alfa Romeo,3
440,"It's too bad AR can't build a quality vehicle to save their life. Their cars are sexy beasts, but man, I would not want to deal with the absolute pain of owning one of these. By far the worst brand on the market for reliability.","
 @mattspeer01
 ",2 years ago (edited),0.078,0.249,0.673,Alfa Romeo,1
441,Finally! The Ferrari SUV came out! :p,"
 @memyselfandi7675
 ",2 years ago,0.332,0.0,0.668,Alfa Romeo,5
442,Blimey. My Peugeot has bigger front discs and less power. Mental,"
 @KING0SISQO
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,2
443,I guess you enjoyed at the maximum that car :)),"
 @ronaldv3582
 ",2 years ago,0.292,0.0,0.708,Alfa Romeo,3
444,"What exactly is the point of launch control anyway? It's completely useless in the real world in a car that already accelerates as fast as this does, and if you're racing, it's much more of an impressive achievement to launch it yourself, isn't it?","
 @Ajay-vk7lz
 ",2 years ago,0.082,0.064,0.854,Alfa Romeo,1
445,Mat it's getting really old that you want all cars to make an insane amount of noise. I believe you're 40-ish years old and not a selfish 12-year old boy.,"
 @steenfraosterbro3268
 ",2 years ago,0.122,0.086,0.792,Alfa Romeo,1
446,Couldn’t we see a test of a BMW X5 45e soon?,"
 @frederik6924
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,1
447,"Don't buy an Alfa Romeo unless you have money to burn and love the idea of your ride spending time at the dealer's workshop.

If the Alfa part is not corroding or discolouring, or malfunctioning or breaking it has probably already just fallen off.

Avoid.","
 @simonmiller5118
 ",2 years ago,0.083,0.092,0.825,Alfa Romeo,1
448,"Jeez, that is quick.
Shame it looks just like an SUV, though.
I mean, seriously; who buys these and goes anywhere near a field?
I suppose people are getting fatter, and older people generally like these high driving position, easy access vehicles, plus there is the pimp factor for showing off (attractive to some); but why not just have the equivalent better driving, saloon or coupe?
Ah, I know: MARKETING.","
 @JamesPCroad
 ",2 years ago,0.132,0.047,0.821,Alfa Romeo,2
449,"I used to love Pingu. I mean that non-ironically. I found it used to chill mE tHe FUCK OUT!!

WHERE THE FUCK ARE YOU, PINGUUUUUU?!?!?! AARRGGHHHH!!! ","
 @5amH45lam
 ",2 years ago,0.122,0.296,0.582,Alfa Romeo,1
450,"May the Lord bless you and protect you. May the Lord smile on you and be gracious to you. May the Lord show you his favor and give you his peace.’

Numbers 6:24‭-‬26 NLT","
 @kaylenblack8172
 ",8 months ago,0.329,0.0,0.671,Alfa Romeo,5
451,The only SUV I’d buy,"
 @aramparonian7914
 ",4 months ago,0.0,0.0,1.0,Alfa Romeo,5
452,"At 10:58 he says, “This is a special car, it really isn’t”. ","
 @BinaryReplicant
 ",11 months ago,0.213,0.0,0.787,Alfa Romeo,1
453,"hey i love your reviews but can u put the links for youtube cause i am not from uk so my network does not support the website idk why

thank you","
 @varunpatel8789
 ",2 years ago,0.17,0.131,0.699,Alfa Romeo,1
454,"The steadfast software formerly clean because feather erroneously polish excluding a brawny double. comfortable, symptomatic vest","
 @izukimoti2473
 ",2 years ago,0.4,0.0,0.6,Alfa Romeo,4
455,i bet with pilot sport tires its even faster,"
 @dvgd999
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,3
456,Is it true you've never properly driven a car until you've driven an Alfa?,"
 @timharris559
 ",2 years ago,0.189,0.0,0.811,Alfa Romeo,1
457,5:57 that real GFE ,"
 @Dilissensiemen
 ",2 years ago (edited),0.0,0.0,1.0,Alfa Romeo,5
458,Love alfa but imagine active areo,"
 @gmgaming7170
 ",2 years ago,0.606,0.0,0.394,Alfa Romeo,3
459,Alfa romeo Stelvio the besst ️🇮🇹from Australia 🇦🇺,"
 @annagattellari85
 ",1 year ago,0.0,0.0,1.0,Alfa Romeo,5
460,"No doorbin check, storage, rear window ","
 @mmj6500
 ",2 years ago,0.0,0.306,0.694,Alfa Romeo,3
461,This thing is superfast,"
 @abdallahalassaf8084
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,5
462,"I am Italian and that ""che cazzo"" was perfect ","
 @luigibeccali2840
 ",2 years ago,0.346,0.0,0.654,Alfa Romeo,5
463,I need to see 3 people in the back to know if it's practical enough,"
 @omar-rr2bj
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,3
464,Italian V6 = best engine,"
 @nathanaelolavio9847
 ",2 years ago,0.583,0.0,0.417,Alfa Romeo,5
465,"The only complaint is the seat belt, look like just bought it from the pound shop.","
 @55thjz
 ",1 year ago,0.134,0.118,0.749,Alfa Romeo,4
466,8:53 that exact office in 2017 said that the engine is alfas own work of art with just littybitty ferrari help,"
 @havnav2842
 ",2 years ago,0.119,0.0,0.881,Alfa Romeo,1
467,"Mat: Hi I'm Mat Watson and this is Carwow

Intro: GO TO CARWOW BUY A CAR

Thank god I wasn't wearing headphones... ","
 @andrewmontague9682
 ",2 years ago,0.204,0.0,0.796,Alfa Romeo,1
468,"It it had a different grill and a Ferrari badge, the car would've been 3 times more expensive...","
 @VinDieselS70
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,3
469,Yeahhhh go Alfa!,"
 @jakegargiulo5101
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,5
470,The only sporty suv i would want to have,"
 @dtzkara1962
 ",2 years ago,0.157,0.0,0.843,Alfa Romeo,5
471,Quarter mile is 0.4 seconds slower than Golf R!,"
 @Khaloof86
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,1
472,We want a Maserati Quattroporte Trofeo review!!,"
 @martonveglesi4766
 ",2 years ago,0.274,0.0,0.726,Alfa Romeo,5
473,Jeremy Clarkson would love this video.,"
 @m1cha9l22
 ",2 years ago,0.457,0.0,0.543,Alfa Romeo,5
474,Great car,"
 @isheanesusekenamu8315
 ",2 years ago,0.804,0.0,0.196,Alfa Romeo,5
475,It's unfortunate alfa is unavailable in my region :(,"
 @ericreynard7320
 ",2 years ago,0.0,0.457,0.543,Alfa Romeo,2
476,Who said V6 doesn't sound good?,"
 @giorx5
 ",2 years ago (edited),0.0,0.325,0.675,Alfa Romeo,1
477,Let’s goooooo mat!,"
 @cedricdormagen5859
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,5
478,Mat’s Old Speacialist Timing Gear,"
 @akhilrachinexplores
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,4
479,Matt's Cargasm 9:44,"
 @shaantanumandwe1278
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,4
480,Could you please review the giulia also?,"
 @viceplayz2394
 ",2 years ago,0.277,0.0,0.723,Alfa Romeo,3
481,How does QV stand for quadofolio,"
 @AndrewL31413
 ",1 year ago,0.0,0.0,1.0,Alfa Romeo,5
482,The sound!!!!!!!,"
 @rustystuff
 ",2 years ago,0.0,0.0,1.0,Alfa Romeo,5
483,"as italian, I'm proud of the ""cazzo"" pronunciation, anyway, love stelvione nazionale!","
 @lorenzoc.5351
 ",2 years ago,0.432,0.0,0.568,Alfa Romeo,5
484,It's pretty. For an SUV.,"
 @andrewmontague9682
 ",2 years ago,0.444,0.0,0.556,Alfa Romeo,4
485,Alfa romeo finally coming to Bangladesh. But high tax would stop them from selling cars with big engines.,"
 @TanvirAlif
 ",2 years ago,0.0,0.141,0.859,Alfa Romeo,2
