Name,Comment,Date,Model
Over over under steer,"Some of these comments are funny.I got one this year whilst by 981 was in for service. I assumed it was a six cylinder model until I asked upon its return. Has plenty of shove for a 4x4, sounds quite nice inside and drives very well for a 4x4.If I wasn't going to go all out and get a Turbo Macan I'd just settle for this. It's great. ","November 16, 2021",Porsche Macan
TyrannosauRoss Lex,"Over over under steer said:Some of these comments are funny.I got one this year whilst by 981 was in for service. I assumed it was a six cylinder model until I asked upon its return. Has plenty of shove for a 4x4, sounds quite nice inside and drives very well for a 4x4.If I wasn't going to go all out and get a Turbo Macan I'd just settle for this. It's great.You couldn't tell the difference between a 4 and 6 cylinder? Are you deaf? Over over under steer said: ","November 16, 2021",Porsche Macan
Mark Asread,"cerb4.5lee said:This is where I personally think that a 6 cylinder(or more) diesel engine works well in a SUV. Loads of low to mid range torque delivered effortlessly.Well, I've tried a few different engines on Macan/Cayenne as I said, and I currently have a 4.2 V8 Diesel, so while I see the merits of some other options, I personally couldn't agree more. 850Nm and mid-30s mpg, 90 litre tank for range, and quick enough. It even sounds ok.Shame they are getting a bit old now. I guess it'll be the hybrid for me next. cerb4.5lee said: ","November 16, 2021",Porsche Macan
ddom,"Over over under steer said:Some of these comments are funny.I got one this year whilst by 981 was in for service. I assumed it was a six cylinder model until I asked upon its return. Has plenty of shove for a 4x4, sounds quite nice inside and drives very well for a 4x4.If I wasn't going to go all out and get a Turbo Macan I'd just settle for this. It's great.The four cylinder sounds very....four cylinder Over over under steer said: ","November 16, 2021",Porsche Macan
cerb4.5lee,"Mark Asread said:cerb4.5lee said:This is where I personally think that a 6 cylinder(or more) diesel engine works well in a SUV. Loads of low to mid range torque delivered effortlessly.Well, I've tried a few different engines on Macan/Cayenne as I said, and I currently have a 4.2 V8 Diesel, so while I see the merits of some other options, I personally couldn't agree more. 850Nm and mid-30s mpg, 90 litre tank for range, and quick enough. It even sounds ok.Shame they are getting a bit old now. I guess it'll be the hybrid for me next.I remember feeling disappointed when Porsche dropped their diesel engines from the Cayenne and Macan to be fair. They just suit this type of car for sure.I also like the high performance petrol models don't get me wrong, but you do start to feel the weight of this type of car in the corners and under braking for me, so they aren't always a car that you want to grab by the scruff of the neck. Wafting, and riding the lovely wave of torque is the order of the day I think, and that is where the 6 or 8 cylinder diesel engines come in nicely I reckon. Mark Asread said: cerb4.5lee said: ","November 16, 2021",Porsche Macan
Cobnapint,"The only problem for me (as a Cayenne diesel driver) is that the Macan doesn't drive like an SUV. It drives like a very well honed, slightly jacked up, performance car.The SUV experience just isn't there in the Macan.I get the comments about not needing st loads of power. Most if it never sees the light of day anyway, and more often than not leaves you slightly stressed and wondering wtf that was all about when you decide to unleash it.Boring I know. Must be getting old.Give me wafty low down torque anyday. ","November 16, 2021",Porsche Macan
PaulJC84,"We got one of the 2.0 versions as a courtesy not too long ago. It felt alright to drive etc.But I was really surprised by how poor the MPG was, it was only 1-2mpg better than the Turbo version. We were not driving like a banzai either.I think it was around 27MPG average when we handed the car back. ","November 16, 2021",Porsche Macan
cerb4.5lee,"Cobnapint said:The only problem for me (as a Cayenne diesel driver) is that the Macan doesn't drive like an SUV. It drives like a very well honed, slightly jacked up, performance car.The SUV experience just isn't there in the Macan.I would love a go in a Macan regards this for sure, and I'm always reading that it is really good to drive, and that it is more like a car to drive than an SUV.The only thing I'm wary of though, is that the reviews described my old E53 X5 4.8iS as driving like a car too. Yet the X5 drove nothing like a car for me personally though...because the bloody thing weighed 2200kg! It was like piloting a boat in the corners! Cobnapint said: ","November 16, 2021",Porsche Macan
PaulJC84,I always see comments about how it doesnt feel like an SUV as well. TBH if you are used to driving cars most of the time you totally still feel the weight and height when braking and cornering. Maybe not like a range rover as thats like sailing a ship round corners but i would say the macan is still closer to that than a hatchback. ,"November 16, 2021",Porsche Macan
Cobnapint,"cerb4.5lee said:Cobnapint said:The only problem for me (as a Cayenne diesel driver) is that the Macan doesn't drive like an SUV. It drives like a very well honed, slightly jacked up, performance car.The SUV experience just isn't there in the Macan.I would love a go in a Macan regards this for sure, and I'm always reading that it is really good to drive, and that it is more like a car to drive than an SUV.The only thing I'm wary of though, is that the reviews described my old E53 X5 4.8iS as driving like a car too. Yet the X5 drove nothing like a car for me personally though...because the bloody thing weighed 2200kg! It was like piloting a boat in the corners!Ok. Deposit placed on an S.BUT - I may be changing down to the 2.0, purely because the steering was so pure without the extra weight of the V6 over the front. Although - I've yet to try an S with Power Steering Plus, the one I tried didn't have it. The two 2.0s I tried (one a Gen 2, the other a Gen 3) did.As many have said, the base Macan is plenty quick enough.I shall make my mind up in the coming months.Btw, delivery has been quoted as late Q1/early Q2 next year. Although I don't think they really know for sure. cerb4.5lee said: Cobnapint said: ","April 23, 2022",Porsche Macan
Avalyn,"I had my Boxster S 987.2 in for it's annual MOT yesterday. I requested a Macan for a courtesy car as it's on my (OK, very long and ever changing) list of replacements as my next car. My wife wants to downsize (she has a Q5) after her smelly mutt heads off to the park in the sky (hopefully not too long) and this may mean I require a car that will seat 4 adults and occasionally luggage too. I'm not 100% sold of SUV's but the Macan was one I was considering.When I arrived at the dealership I can see the Macan parked up and waiting for me. I'm delighted that it's a petrol S. It looks the nuts. White, black 21"" Sport classic alloys, and once I'm inside I see it's pretty much optioned out. Not a single blank button. I am looking forward to a day with this.Ok, lets start her up. Oh, where's the exhaust note? A few revs maybe, errrm no, very quiet. Ah, lets hit the PSE button. Nope. Check I've pressed the right button, hmmm, let's try putting it in Sport+, looks like the PSE is on - what a disappointment. Maybe it'll sound better on the move.Ok, into D and off we go. Awe man, what's going on with the steering. It's light and a bit gloopy. Head onto the dual carriageway and give it some beans. Yes we go faster, but there's no drama, and it doesn't feel as quick as I had hoped. On to some B-roads, excellent handling, PDK in Sport+ is always in the correct gear, and we make some really quick progress. It does go where I point it, but I don't like the steering feel, and the engine is a bit anodyne. More a propulsion device really. It takes me a while to get used to the brakes around town, they bite with such a small pressure on the pedal and I don't make smooth progress.So where does that leave me. I'm impressed by the looks inside and out. It's beautifully finished (although the gear lever seems much less solid in it's motion than mine) but it's lacking character. Of course I was expecting a different drive than my Boxster, but I was still expecting a Porsche-ness to it. No complaints about how it handles for such a big car, also no complaints about the drivetrain, efficient, whip crack shifts and it does go well.In my opinion it's gone a bit Audi and if that's the case I need to go try an SQ5 and see how it compares. Maybe I'm just not an SUV person and will stick to my other ideas of getting a big saloon/estate. I'd be interested to see if the Panamera drives like the Macan.At the start of the day, I had expected to be asking the dealer how much it would cost me to change my car, at the end of the day I was glad to be back in my 5 year old Boxster .. ","July 08, 2016",Porsche Macan
POORCARDEALER,"Avalyn said:I had my Boxster S 987.2 in for it's annual MOT yesterday. I requested a Macan for a courtesy car as it's on my (OK, very long and ever changing) list of replacements as my next car. My wife wants to downsize (she has a Q5) after her smelly mutt heads off to the park in the sky (hopefully not too long) and this may mean I require a car that will seat 4 adults and occasionally luggage too. I'm not 100% sold of SUV's but the Macan was one I was considering.When I arrived at the dealership I can see the Macan parked up and waiting for me. I'm delighted that it's a petrol S. It looks the nuts. White, black 21"" Sport classic alloys, and once I'm inside I see it's pretty much optioned out. Not a single blank button. I am looking forward to a day with this.Ok, lets start her up. Oh, where's the exhaust note? A few revs maybe, errrm no, very quiet. Ah, lets hit the PSE button. Nope. Check I've pressed the right button, hmmm, let's try putting it in Sport+, looks like the PSE is on - what a disappointment. Maybe it'll sound better on the move.Ok, into D and off we go. Awe man, what's going on with the steering. It's light and a bit gloopy. Head onto the dual carriageway and give it some beans. Yes we go faster, but there's no drama, and it doesn't feel as quick as I had hoped. On to some B-roads, excellent handling, PDK in Sport+ is always in the correct gear, and we make some really quick progress. It does go where I point it, but I don't like the steering feel, and the engine is a bit anodyne. More a propulsion device really. It takes me a while to get used to the brakes around town, they bite with such a small pressure on the pedal and I don't make smooth progress.So where does that leave me. I'm impressed by the looks inside and out. It's beautifully finished (although the gear lever seems much less solid in it's motion than mine) but it's lacking character. Of course I was expecting a different drive than my Boxster, but I was still expecting a Porsche-ness to it. No complaints about how it handles for such a big car, also no complaints about the drivetrain, efficient, whip crack shifts and it does go well.In my opinion it's gone a bit Audi and if that's the case I need to go try an SQ5 and see how it compares. Maybe I'm just not an SUV person and will stick to my other ideas of getting a big saloon/estate. I'd be interested to see if the Panamera drives like the Macan.At the start of the day, I had expected to be asking the dealer how much it would cost me to change my car, at the end of the day I was glad to be back in my 5 year old Boxster ..Bought wifey a Cayenne diesel recently as a daily, she has had many Porsches over the years...she echos your thoughts reference it could be a Merc/Audi/whatever and in fact wants to go back to a Range Rover vogue as the Porsche lacks ""specialness""....from my point of view its quiet, stable, goes well and will be reliable.Panamera is well worth a drive. Avalyn said: ","July 08, 2016",Porsche Macan
EricE,Technically the Macan is heavily reworked Q5. It's still the best handling and most agile car in its class but its centre of gravity must be around the height of your head when you sit in the Boxster! Porsche's calibration team is excellent but we can't expect them to work miracles. ,"July 08, 2016",Porsche Macan
Avalyn,"POORCARDEALER said:Bought wifey a Cayenne diesel recently as a daily, she has had many Porsches over the years...she echos your thoughts reference it could be a Merc/Audi/whatever and in fact wants to go back to a Range Rover vogue as the Porsche lacks ""specialness""....from my point of view its quiet, stable, goes well and will be reliable.Panamera is well worth a drive.I think that sums it up, quiet, stable, goes well .. that could be almost anything, BMW, Mercedes, Audi, my Dad's Focus 1.5 TDCi is quiet, stable and goes well for a small diesel, and has better steering.I know it's based on a Q5, and Porsche can't work miracles but you'd think they could have imbued it with a dash of character. If you were in the passenger seat blindfold you'd never guess it was a Porsche.Maybe it's just me, I like cars that are actually worse lol. I preferred my Subaru STi to my S3 even though in almost every measurable way on paper it's not as 'good' a car :-/ POORCARDEALER said: ","July 08, 2016",Porsche Macan
MDL111,"Avalyn said:POORCARDEALER said:Bought wifey a Cayenne diesel recently as a daily, she has had many Porsches over the years...she echos your thoughts reference it could be a Merc/Audi/whatever and in fact wants to go back to a Range Rover vogue as the Porsche lacks ""specialness""....from my point of view its quiet, stable, goes well and will be reliable.Panamera is well worth a drive.I think that sums it up, quiet, stable, goes well .. that could be almost anything, BMW, Mercedes, Audi, my Dad's Focus 1.5 TDCi is quiet, stable and goes well for a small diesel, and has better steering.I know it's based on a Q5, and Porsche can't work miracles but you'd think they could have imbued it with a dash of character. If you were in the passenger seat blindfold you'd never guess it was a Porsche.Maybe it's just me, I like cars that are actually worse lol. I preferred my Subaru STi to my S3 even though in almost every measurable way on paper it's not as 'good' a car :-/no opinion on the Macan, but fully get what you are saying about preferring your cars worse - I think I am the same - just call it with character instead of ""worse"" Avalyn said: POORCARDEALER said: ","July 08, 2016",Porsche Macan
Porsche911R,"EricE said:Technically the Macan is heavily reworked Q5. It's still the best handling and most agile car in its classhere is the issue, people say it drives like a car (it don't by any means, that's media hype), but it's not a car is a SUV !!! even you stated it's a ""car""it may be a good SUV but it's NOT like any car I have driven, the reviews which say it's like a car are st ! EricE said: ","July 08, 2016",Porsche Macan
wilkos,"Porsche911R said:EricE said:Technically the Macan is heavily reworked Q5. It's still the best handling and most agile car in its classhere is the issue, people say it drives like a car (it don't by any means, that's media hype), but it's not a car is a SUV !!! even you stated it's a ""car""it may be a good SUV but it's NOT like any car I have driven, the reviews which say it's like a car are st !Its not really an suv either. My 911 has to go as the kids are getting too big, and it's now painful to go anywhere with the family as all they do is bh and fight.Consequently we go everywhere in the wifes golf R.So I've ordered a macan turbo, and after driving different macans fairly extensively at the PEC and on road, I'd say the performance macans drive like slightly taller, slightly heavier hot hatches.They will never be like a sports car, but they're not wallowy old barges either. I tried most premium SUV's whilst deciding on what to drive between now and the kids buggering off, and I found RR's to be big, cumbersome trucks, the new Jag f pace to be competent but zero character, with a downmarket interior, and all the BM, Audis to be as disappointing as I expected.I found the Macan to be a hoot, as I could chuck it down an a road at bonkers speeds, and still do motorway cruises in quiet comfort. It'll never be a sports car, but in the same way that the wifes R is the best compromise of fun and practicality in the medium hatch segment, I find the macan turbo (or gts) to be the best growing family car compromise. I'll never love it, but then I found the same with audi rs4/6 and bmw M3/5's that I've tried. Porsche911R said: EricE said: ","July 08, 2016",Porsche Macan
bompey,"Your problem is comparing it to a boxster. We recently drove a 718 Boxster S at Silverstone and it was fantastic. We had a MACAN turbo for 2 years and soon pick up a MACAN GTS, and as a family car it is very good. I cannot think of anything I would rather have as our family car (but we only have 1 child). Around Silverstone PEC the GTS really flew given the size, but the Boxster was in another league. As soon as our teenager is off to Uni we will get a boxster.We are currently driving a Cayenne diesel due to delays on the GTS and that feels barge like. You shouldnt really compare the Cayenne to the Macan if looking for sportiness. ","July 08, 2016",Porsche Macan
DMC2,"My everyday car is now a V8 Diesel Cayenne as I needed a car big enough to carry 3 kids, 2 adults a dog and luggage. I also go mountain biking so the rugged 4 wheel drive is more than capable for that requirement. I love it. Amazing machine for what I need of it. But I would never class a Cayenne or a Macan as a sport vehicle, not even close to even a hot hatch. They are just the best driving options in that class. ","July 08, 2016",Porsche Macan
paulmon,"I don't see it as a sports car either its just a safe place to put your own money. In the ""need 4 seats and somewhere to put stuff"" segment the safest bets are the Macan and the RRS. I personally don't like the image of the RRS so chose the Macan. I also prefer an estate as its easier for me to put my bikes on the roof but £40-50K estate cars haemorrhage cash. ","July 08, 2016",Porsche Macan
Porsche911R,wilkos said:Its not really an suv either.yep it is ! wilkos said: ,"July 08, 2016",Porsche Macan
Porsche911R,"DMC2 said:But I would never class a Cayenne or a Macan as a sport vehicle, not even close to even a hot hatch. They are just the best driving options in that class.I thought the new Jaguar F-Pace was the class leader now !to quote Autoexpress""The Jaguar F-Pace has the measure of its SUV rivals from Audi, BMW and Porsche""Any way it's market I can never see me buying into. DMC2 said: ","July 08, 2016",Porsche Macan
DMC2,"Porsche911R said:I thought the new Jaguar F-Pace was the class leader now !to quote Autoexpress""The Jaguar F-Pace has the measure of its SUV rivals from Audi, BMW and Porsche""Any way it's market I can never see me buying into.You truly are a tool. If you have no interested then fu@k off out of the topic. Porsche911R said: ","July 08, 2016",Porsche Macan
Porsche911R,"DMC2 said:You truly are a tool. If you have no interested then fu@k off out of the topic.why do you do personal attacks from an autoexpress quote ? it's really not on to act this way on public forums !Harsh, but what about the F pace ?I have Macan's as loans every time my Porkers go in and reviews are very over rated, the Macan act comes 7th in the best SUV with Autoexpress.Best SUVs and 4x4s in the UK for 2016, and I must say like the OP I was very disappointed when I last drove one.1. Jaguar F-Pace2. Volvo XC903. Land Rover Discovery Sport4. Audi Q75. Mercedes GLC6. Kia Sorento7. Porsche Macan8. Hyundai Santa Fe9. Dacia Duster10. Range Rover Sport DMC2 said: ","July 08, 2016",Porsche Macan
wilkos,"Porsche911R said:yep it is !No it isn'tIts classed as a crossover as it has next to zero off road ability, and very limited towing capacity. It can only tow 2 tonnes verses 3.5 tonnes for any range/land rover, x5 etc.Thats how the Americans class it and they came up with the whole SUV concept.Drives very differently to an RR or X5, Q7 etc, as they make on road compromises in the name of off road ability, the biggest of which is ride height. A macan is 200mm taller than a golf, yet 200mm lower than a Range rover, x5 etcEdited by wilkos on Friday 8th July 15:04 Porsche911R said: Edited by wilkos on Friday 8th July 15:04 ","July 08, 2016",Porsche Macan
red997,"not driven a Macan (yet..) but will be in the market shortly for a 'proper car'For those that have driven both, how do they compare to the Cayenne ?I've had two of these previously (1st gen & current), so I'd be interested to hear first hand comparisons - and yes, I know the KN is larger... ","July 08, 2016",Porsche Macan
cayman-black,Well i think it looks st sounds crap and its good to hear others think the same. ,"July 08, 2016",Porsche Macan
Koln-RS,Macan (Diesel S) gets a superb review in the latest Car Magazine - against the RR Sport and Jag F Pace. ,"July 08, 2016",Porsche Macan
Fatsterjack,"Koln-RS said:Macan (Diesel S) gets a superb review in the latest Car Magazine - against the RR Sport and Jag F Pace.My experience for what it is worth.....Macan S diesel, it's an SUV but does drive like a car. Probably the most able vehicle I've driven in terms of its various competencies. But at the same time it's clearly a Porsche.It's certainly not a Q5.FJ Koln-RS said: ","July 08, 2016",Porsche Macan
ZeroH,"OP I totally agree on tne steering feel... had a diesel when my cayenne turbo went in to the dealer... it had a very stodgy and oddly treacly response, ... not a patch on the cayennes steering feel.Had many other gripes with the car as well... was very unimpressed overall. ","July 08, 2016",Porsche Macan
Trotmant,"OP ignore all of the above the S in any guise is gash, the GTS and personally the turbo with the lower ride height from air suspension and torque vectoring make it corner very flat . have driven all the versions of macan (less the new 2.0) and own a turbo. If spec right, its a bulbous cayman with 4 wheels and still sounds quality and gives you 4 seats. ","July 08, 2016",Porsche Macan
paulmon,"Trotmant said:OP ignore all of the above the S in any guise is gash, the GTS and personally the turbo with the lower ride height from air suspension and torque vectoring make it corner very flat . have driven all the versions of macan (less the new 2.0) and own a turbo. If spec right, its a bulbous cayman with 4 wheels and still sounds quality and gives you 4 seats.Really! Does anyone buying a car in this segment give a sh*t how flat it corners. Trotmant said: ","July 09, 2016",Porsche Macan
NAS90,"I'm surprised by all the negativity about the Macan; when I first saw it/ heard about it I was somewhat sceptical, but having driven all the petrol models on road and track, I'm very impressed with it. I think one issue is what you choose to compare it to, Porsche define all of their 4 door concepts as the first sports cars in their segment, critical part of that being 'in their segment'.The Macan is a mid size premium SUV and the competition in that segment is Q5, Evoque, Tiguan R, X3 and now the new Jaguar F Pace. Drive it in a comparative test against its competition and you will agree with Porsche's marketing speak. Whilst I have yet to drive the Jaguar, the Macan's gearbox, chassis, engine response, etc. leaves the rest miles behind in terms of sporty feel and driving precision, take it on track and you'll surprise several drivers of so called 'sports cars', the Macan S in Sports mode, using the manual paddles is a quick motor, the GTS and Turbo even more so.Someone earlier on said the Macan was rubbish off road, I'm afraid I'm going to disagree with that also, i've driven it in the desert, on the beach, in the mountains and on dedicated off road testing courses and whilst it is no Land Rover Defender, the offload mode makes it very capable in most offload situations, over rocks the way the PSM moves traction to the wheels that have grip is really clever. Offload you always have to remember that you have road tyres and vulnerable bumpers but driven properly the Macan will go most places 99.9% of owners will ever need it to.If however you compare it to a Cayman/ Boxster/ 911 on the road then of course it feels disappointing, it is a sporty mid sized SUV, not a sports car. If however you see the Macan as a practical car that covers most requirements of family and outdoor life with the ability to be driven hard on road when you are in the mood, then you'll not be disappointed, as someone else previously said i think, the GTS is the pick of the range. ","July 09, 2016",Porsche Macan
Taffy66,"Autocar did a recent test between a Jaguar F pace diesel and Macan S diesel and the macan blew the Jag out of the water in all respects!.I nearly bought a macan s diesel two years ago but after a testdrive i updated to another Cayenne,the reason being i found it cramped in the back and also too low compared to my Cayenne.When driving quickly cross country i find the height of the Cayenne affords an advantage when overtaking and overall visibility plus the kids love it.Don't believe a word on Range Rover's supposedly much improved build, after talking to a car-repairer friend he said they were still crap esp compared to german cars. ","July 09, 2016",Porsche Macan
DS240,"Is it good compared to same class rivals is the important measure of the Macan, not how does it compare with other Porsches such as a Boxster or 911.Expecting the same experience just because it has a porsche badge is the wrong way to look at it. ","July 09, 2016",Porsche Macan
griffgrog,"I had a Macan S Diesel and regret selling it. I had air suspension which might have helped, the biggest alloys that didn't, but thought it was a brilliant car.It does handle very well, towed my race car with ease, looked great, was economical, reasonably quick, good ride, brilliant residuals.If you want a small SUV then I can't think of anything that tops it.IMO way better than the Cayenne I had before it.Now in a full fat RR, which is palatial and creamy smooth, but isn't a patch on the Macan for being as good as the job it's intended for. ","July 09, 2016",Porsche Macan
Narcisus,If you fancy a big petrol estate with a bit of poke have a look at the Skoda Superb. ,"July 09, 2016",Porsche Macan
Orangecurry,Perhaps one of you owners could enlighten me...What is the point of these vehicles? I can't see any advantage other than ground clearance? Is that it? So you can bump over kerbs? ,"July 09, 2016",Porsche Macan
Narcisus,Orangecurry said:Perhaps one of you owners could enlighten me...What is the point of these vehicles? I can't see any advantage other than ground clearance? Is that it? So you can bump over kerbs?:-) pack it in .... Orangecurry said: ,"July 09, 2016",Porsche Macan
Orangecurry,I was being semi-serious - is it just ground clearance? ,"July 09, 2016",Porsche Macan
EricE,"Orangecurry said:I was being semi-serious - is it just ground clearance?Lots of reasons. The extra height gives you better overview over the road and traffic. People generally feel safer in SUVs because they sit above most the ""regular traffic"". I'd like to note that most lethal accidents involve a rollover and SUVs have a much higher center of gravity but whatever.Longer suspension travel, larger tyres and higher car weight give you greater comfort over potholes and save you slowing down for speed bumps. Unless you opt for low profile tyres with big rims.Many people look down on estates. I never understood that but assume that is because so many company cars are estates. SUVs are estates minus the whole ""sensible""/""practical"" image that people seem to hate so much.The higher entry position makes them easier to get in and out of. That's a major point for older or obese people. Both demographics are growing rapidly.Many people in my area want AWD for winter. Normal cars/estates often only offer AWD in combination larger engine which bumps the price up to where a normal AWD car isn't much cheaper than the corresponding SUV variant. At that point they just go with the SUV because of the aforementioned reasons. Orangecurry said: ","July 09, 2016",Porsche Macan
Orangecurry,"So they are for old, fat people, with piles, who don't want to slow down for speed bumps? Ahhhhhh I understand now. Thanks.As I used to drive Defenders for a living, I understand the dynamics of off-road driving.But I have a Subaru, which is probably why I don't understand the attraction of these SUV things.Carry on ","July 09, 2016",Porsche Macan
WojaWabbit,"Orangecurry said:So they are for old, fat people, with piles, who don't want to slow down for speed bumps? Ahhhhhh I understand now. Thanks.As I used to drive Defenders for a living, I understand the dynamics of off-road driving.But I have a Subaru, which is probably why I don't understand the attraction of these SUV things.Carry onBrilliant! Orangecurry said: ","July 10, 2016",Porsche Macan
Dr S,"Expecting a Macan to be as much fun as a Boxster is missing the point somewhat. The Macan is the best SUV I have driven (mostly rentals as I am not at all an SUV fan) though.Yes, my wife's Turbo only sounds interesting the five seconds after startup (it has no PSE). Thereafter it is lacklustre - especially compared to the flat sixes Porsche offersHowever, it has handling many estates can only dream of whilst the suspension is supple in a way that e.g. the latest C-class Merc struggles to match. Gearbox-engine integration is excellent which makes the car quicker than what I would have expected by the combination of power and weightIs it a Boxster replacement? Definitively no. Is it a great car and fun SUV? Indeed it is IMHO ","July 10, 2016",Porsche Macan
Geneve,"Dr S said:.......Is it a great car and fun SUV? Indeed it is IMHOI'd agree with that.We've had a current model Cayenne D for 5 years and 70k mls, and it's been excellent. Didn't plan to change, but sampled some of the alternatives, including a long weekend with a high spec Macan D 'S' and week with a RR Sport SVR.Deeply impressed with the Macan as a package, incredible road manners for an SUV, and you can feel that it's a Weissach developed product. I'd say it's 'best in class' at the moment.Inevitably, you need to be prepared to tick lots of boxes from the extensive options list (Inc Air suspension), but it will improve the quality, luxury and dynamics further - albeit at a cost. Dr S said: ","July 10, 2016",Porsche Macan
breadvan,"FWIW in 6-9 months, with the introduction of the latest Pan and Cayenne, the Macan will the oldest car in the whole line up. ","July 10, 2016",Porsche Macan
JMBMWM5,"Porsche911R said:why do you do personal attacks from an autoexpress quote ? it's really not on to act this way on public forums !Harsh, but what about the F pace ?I have Macan's as loans every time my Porkers go in and reviews are very over rated, the Macan act comes 7th in the best SUV with Autoexpress.Best SUVs and 4x4s in the UK for 2016, and I must say like the OP I was very disappointed when I last drove one.1. Jaguar F-Pace2. Volvo XC903. Land Rover Discovery Sport4. Audi Q75. Mercedes GLC6. Kia Sorento7. Porsche Macan8. Hyundai Santa Fe9. Dacia Duster10. Range Rover SportHaving wanted one and driven one I agree with you, no way near the best SUV, in a word BORING. Porsche911R said: ","July 11, 2016",Porsche Macan
ZX10R NIN,"Bought a Macan Diesel S for the OH to drive the car itself was lovely inside (as it should have been considering the cost) & not a bad looker, but for her the steering felt numb (she was coming out of a well fettled C63 at the time) we sold it 6 weeks later for a small profit so no harm done she now has an Alpina D3 which is superb fast a good steer the interior is a very nice step above the normal BMW fare & it's fast as well as frugal.If you're looking for a nice crossover I'd take a look at the Alpina XD3 the UK allocation is small so there's not a lot of haggling to be done. ","July 11, 2016",Porsche Macan
Koln-RS,"If in doubt, read the reviews:T.G. - http://www.topgear.com/car-reviews/porsche/macanEVO - http://www.evo.co.uk/porsche/macanCAR - http://www.carmagazine.co.uk/porsche/macan/A.E.- http://www.autoexpress.co.uk/porsche/macanAutocar - http://www.autocar.co.uk/car-review/porsche/macanI've driven three. I'd pass on a poverty spec 2.0, but the well equipped V6s were excellent, IMO. ","July 11, 2016",Porsche Macan
franki68,"red997 said:not driven a Macan (yet..) but will be in the market shortly for a 'proper car'For those that have driven both, how do they compare to the Cayenne ?I've had two of these previously (1st gen & current), so I'd be interested to hear first hand comparisons - and yes, I know the KN is larger...I test drove cayenne and macan diesels for the wife's boxster replacement.The cayenne was barely any bigger ,both are better than other suv's but nowhere near a car for fun.The macan interior was very poor , I thought the cayenne felt like a expensive car inside ,the macan felt cheap .She plumped for the cayenne . red997 said: ","July 11, 2016",Porsche Macan
red997,"thanks - from my quick poke around one in an OPC, I thought the same - the KN was definitely a step above the Macan interiorMight just wait a bit - I'm guessing that there will be a new KN on the way out soon given the model range life cycle ","July 14, 2016",Porsche Macan
Triple7,"The KN is £20k more and prob has the full leather, which is available in the Macan. The PDK makes the Macan tbe winner over the KN imho. That auto is 'orrible.....Yes, Macan is a smidge too small in the rear, but these aren't supposed to be limo's. New KN end next year! If it has the new pan interior it will look the biz. Never liked the KN dash/console.... ","July 20, 2016",Porsche Macan
spareparts,"Macan GTS or Macan Turbo... both are similar on paper, with a small advantage to the Turbo, for a 7k premium. In the real world, are there any significant differences? Because of scarce availability , I have not been able to get a test drive in a Turbo or GTS, but have driven a 3.0S which was superb. Any thoughts on which one (GTS/Turbo) is the one to go for? ","September 19, 2016",Porsche Macan
GT3cs,"spareparts said:Macan GTS or Macan Turbo... both are similar on paper, with a small advantage to the Turbo, for a 7k premium. In the real world, are there any significant differences? Because of scarce availability , I have not been able to get a test drive in a Turbo or GTS, but have driven a 3.0S which was superb. Any thoughts on which one (GTS/Turbo) is the one to go for?Turbo performance pack . 440bhp with GTS suspension , big brakes and noisy exhaust . Best of both worlds and going to be pretty rare by all accounts ...... spareparts said: ","September 19, 2016",Porsche Macan
bompey,"I had a Turbo for nearly 2 years and now have a GTS and they are both great cars. I prefer the GTS out of the 2 as it is more involving to drive. The Turbo was very powerful and using it as our main car we spent most of the time coasting along or hovering over the brake. It's almost limo like whereas the GTS has a bit less power so it needs to be driven more, it's much more involving. The suspension and the exhaust are much sportier.Spec up each model and see how you get on. ","September 19, 2016",Porsche Macan
langlord,"As people has said go and try the gts if you can find a demo to actually test drive, as the suspension revisions are notable and its the reason the same setup has been used on the turbo with the performance pack. The PSE is also notably louder if that's another requirement you have.I agree with comments about the F pace, I had one on order and I cancelled once I got to physically see the car. At entry level I think it is probably the best value all round SUV, however once you get up to the S model the interior is lacking in quality. ","September 20, 2016",Porsche Macan
spareparts,"The Macan will be the family wagon, so noise is nice to have, but not the absolute requirement. I already have other more focused toys to give the noise/performance hit. The Macan's superlative quality of drive are why it is our top choice amongst a variety of practical cars for our needs. The effortless shove of the Turbo is always nice, but I am wondering whether the cost premium is really worth it over the already performant GTS. As with any family wagon, this is mostly a head decision and less so heart. The residuals on both are very strong, but with the imminent release of the Performance Pack Turbo due for release in Q1, I wonder if the standard Turbo will be of lesser interest. I think there are really only 4 standout models:- base 2.0- S Diesel- GTS- ... TurboPP? ","September 20, 2016",Porsche Macan
Bernardino,"I've been reading this topic with great interest as we have an S diesel arriving in the next few weeks.It's a long boring sensible story but basically me and the other half are swapping the 997 and 981 in for the Macan. The idea was to get a turbo however, our local OPC offered us a great deal on a new diesel so we went for it.I first drove the 2.0 version as a loan car at the end of last year and after a week was very taken with it. I then had a go in a turbo at PEC and I couldn't believe the performance. Having driven the diesel now, I'm also impressed with it.I would never compare any of the variants to the 997 or 981 but for a family car it really is one of the best I've driven.I'm wondering if we should of opted for a GTS however, I'll be looking to get my sports car fix at some point next year in the form of an early generation boxster but that's another story. ","September 20, 2016",Porsche Macan
