Name,Comment
TheGrimJeeper,White one with a sunrooof today.
cue2,I saw the Stelvio yesterday. It was on the M25.
stuart1714,"Saw my first one in the wild today in Warrington. A contractor who used to work for us and lives near the office visited us with a 280 Bhp red one so I had a good look around it.I was surprised this chap bought it, I wouldn’t have pegged him as an Alfa driver. He’s generally not too fussed about his cars but went out his way to get a Stelvio. He’s the type of person Alfa needs to attract if they want to make the brand a success.I also informed him he has to wave at passing Alfa drivers."
j20eyk,"Very, very nice Black Milano on Trinity Way, Manchester tonight approx 6pm. First one in the wild and it looked spot on, much to my surprise!Clocked it in my side mirror coming up and gave the thumbs up out my window as it went past. No acknowledgement backSent from my ONEPLUS A5000 using Tapatalk"
David P,A couple Stelvio ads on BT Sport during Mexico WRC coverage.
matty74,Saw a couple at Düsseldorf Airport the other week in the Avis section of the car park and a very nice red one parking up outside a cafe in El Cotillo Fuertaventura just nowSent from my iPhone using Tapatalk
matty74,"Blimey ... another one today on the way to Corralejo today Cicar rental ... Grey (Vesuvio perhaps) ... rental is cheap over here, I should’ve paid a bit more perhapsSent from my iPhone using Tapatalk"
Alfamack,"Red one on the A500 coming out of Hanley yesterday evening rush hour. Looked good and really liked the lights as he was behind me... although not for long as he headed up towards the M6, J16.. MM67 bought from Mango's"
jonswan,"I saw a black Stelvio in Morocco last week, heading towards Marrakech. Funnily enough, when there in Dec 2016 I saw my first Giulia - a white one, which was the first in the country. I also saw two Giuliettas in Marrakech, one white (and clean too) and one black."
cue2,Geneva show Wednesday.Prod the thumbnail to view the right way up!
alfabeat,Saw my first ever Stelvio today. Red one driving through Goodrich village! Looked great.
Alfamack,"2nd one on Tuesday. Red and must have been a Man U supporter... MUxxFAN, on Weston rd in Crewe."
GTV_Slave,Saw a black Stelvio on Vicarage Farm Raod in Heston a couple of days back - lady driver.
dan_vdp,Stelvio in Vesuvio Grey spotted in Morzine yesterday. Really looked the part in an area frequented by German 4x4s!Sent from my iPhone using Tapatalk
jparkin486,Alfa red Stelvio on the M4 westbound between Swindon and Bristol. Standing out from all other SUVs :thumbu p:
smarty156,Grey Stelvio heading into Bluewater shopping centre at 9am this morning. Looks very nice in that colour.
TheGrimJeeper,Saw the camouflaged Nurburg ringer yesterday.
cue2,"Saw three Stelvia in a couple of days in Spain last week, and no Giulias. Looks ok."
,
Squadrone Rosso,This one? Lol
cue2,I didn't notice the eyeliner at Geneva!
TheGrimJeeper,"Essen, not Geneva."
cue2,Und trinken?Just wondered if there's more than 1 of them. They could at least have displayed it/them at a rakish angle like banking.
TheGrimJeeper,Maybe something cracked in transit...?
cue2,I thought Sabine was in the Transit?
Squadrone Rosso,"I thought this Stelvio was described as a road going cars when the record fell?It has a full cage, most of the panel gaps & intakes are taped over & the interior isn’t, well, complete!"
Ruskins,"That's normal for ""production car"" records on the ring. That cage probably makes it weigh more than the standard car."
cue2,"A White one on the m25 in Dartford. Driver looked like he could have been a car salesman, so I just checked the stock at Ancaster;Used Car Results Alfa Romeo STELVIO | London, Kent, Surrey | Ancaster GroupThat'll be why..."
David P,A 181 T Red Stelvio in Bandon :WAVE:
ianrm,Close encounter this evening. An Alfa Red behind me in the queue to join the M1 northbound at Hemel Hempstead.
David P,A White Stelvio in Dan Seaman Motors.
David P,A Red Stelvio with a hitch on Top Gear
cue2,Went without a hitch. Unlike the Volvo.
Squadrone Rosso,"It was the only one that didn’t have bits falling off it too.Clearly, the TSB regarding the early cars ability to she wheel arch liners / protectors.Well done Alfa."
Andy Bowden,"I've been in Italy since Wednesday, including a drive from Torino to Cervinia, and I've only seen one Giulia, but 4 Stelvios. Or should that be 4 Stelvii?The Stelvio does seem to be outselling the Giulia.Andy"
David P,"Voting now open for the previous entrieshttp://www.alfaowner.com/Forum/poll-room/1147098-march-2018-ao-detailing-competition-vote.htmlVote for whoever you think deserves to win :thumbs:And April Detailing competition now open for entrieshttp://www.alfaowner.com/Forum/car-detailing/1147106-april-2018-detailing-competition-entries.htmlDon't let the title put you off, it doesn't have to be a full detail, a wash & a clean will do, if the car looks good take some pics & submit them, please include some info on what you have done to the car :thumbs:Check out the updated rules herehttp://www.alfaowner.com/Forum/car-detailing/745785-monthly-detailing-competition-rules.html"
aspender,Three months and 3k of driving in my Stelvio and I've only just seen my first other one in the wild. Alfa Red on Chequer St in St. Albans this evening. I was the Misano Blue going in the other direction :happy:
Ruskins,Spotted one in the wild! Near Wallingford last night a red one.
cue2,I think I've seen the red one.
cue2,"Saw three Stelvia in a couple of days in Spain last week, and no Giulias. Looks ok."
,
stuartm2007,Red one in Haywards Heath last week.Monte Carlo blue diesel in Madonna di Campaglioni 3 weeks ago.
aspender,"Vesuvio Gray parked up in Stanborough, Welwyn Garden City"
jparkin486,Misano blue Stelvio on the M4 near Newbury this afternoonWondered if it was as Papa Smurf having a trip down to that England place!Julian
ianrm,White one this evening on the M25 anti clockwise between Waltham Cross and Potters Bar.
PapaSmurf,Afraid not. Still up here in Sunny Scotland
smarty156,Red Stelvio coming up West Hill in Dartford this morning.
Demolitionman13,Red Stelvio at Stansted Airport on Saturday. I had to grab a photo.
mgslusso,"I saw my first Stelvio in Edinburgh on Tuesday evening. Diesel version in Alfa Red, looked really good."
TheGrimJeeper,Black one. PHWOOOOOAR!
PapaSmurf,Full Gangsta.
smarty156,Dark grey or dark blue Stelvio on a private plate through Dartford this morning.
cue2,Alfa Red one in Shoreham.
bigalstosh,Alfa Red Stelvio on the A6 just outside Chapel-en-le-Frith on Friday evening. First I have seen; looks the part.
Ruskins,Grey one parked in Reading Station Multi-story CP this morning.
cheesemaster,"Monday - M25 clockwise around the M4 junction area - Dark Grey. Looks really smart and stood out a mile.That takes me up to three in total (outside of dealer showrooms). I've seen SO many more Maserati Levantes than Stelvios. Hell, I've seen more Bentley Bentaygas. What on earth are people doing!"
smarty156,"Red Stelvio yesterday in Hextable, Kent. Maybe the same one as I saw in Dartford?"
JTD_Liam,"I've seen three Stelvio's on the road so far too - one blue on the M6 in Staffordshire, one red on the M1 in South Yorkshire and a black one near Bicester in Oxfordshire. Seen 8-10 Levante's though. It's weird that despite it being more expensive, with a less positive set of press reviews and an even smaller dealer network, the Levante seems to be doing better. I suppose it was launched a bit before the Stelvio but I saw several on the roads pretty much straight away whereas the Stelvio is nowhere to be seen. A lot of Giulia's appearing now though, which is good - particularly 67 & 18 plates :thumbs:"
David P,"Sounds like it's going to be good weather for the long weekend, so ...May Detailing competition now open for entrieshttp://www.alfaowner.com/Forum/car-detailing/1147106-may-2018-detailing-competition-entries.htmlDon't let the title put you off, it doesn't have to be a full detail, a wash & a clean will do, if the car looks good take some pics & submit them, please include some info on what you have done to the car :thumbs:Check out the updated rules herehttp://www.alfaowner.com/Forum/car-detailing/745785-monthly-detailing-competition-rules.html"
jparkin486,A montecarlo blue Stelvio stuck in the big traffic jam west bound on the M62 this afternoon.Hope you weren’t delayed too long
David P,"The Stelvio/Giulia ad featuring the ""Wicked Game"" track during WSB coverage from Imola on Eurosport."
cue2,"Saw three Stelvia in a couple of days in Spain last week, and no Giulias. Looks ok."
,
osney,"In the past couple of months I've seen two Maserati Levantes, and yesterday morning I saw a Bentley Bentayga (stupid name for a daft car) on the A92 from Dundee to Glenrothes. Yet to see a Stelvio outside of a showroom, although I have now seen two different Giulias. Perhaps I need to get out more."
matty74,VG Stelvio on A55 near Rhyl yesterday heading towards Conwy ... I was on the opposite carriageway in my camper. Saw a VG Giulia earlier that day tooSent from my iPhone using Tapatalk
Alfamack,"Weston roundabout, Thursday afternoon about 5pm, just outside Crewe travelling towards J16 of the M6.Nice silver/grey colour and a very happy looking lady driver."
David P,"Voting now open for the previous entrieshttp://www.alfaowner.com/Forum/poll-room/1160802-may-2018-ao-detailing-competition-vote.htmlVote for whoever you think deserves to win :thumbs:And June Detailing competition now open for entrieshttp://www.alfaowner.com/Forum/car-detailing/1160810-june-2018-detailing-competition-entries.htmlDon't let the title put you off, it doesn't have to be a full detail, a wash & a clean will do, if the car looks good take some pics & submit them, please include some info on what you have done to the car :thumbs:Check out the updated rules herehttp://www.alfaowner.com/Forum/car-detailing/745785-monthly-detailing-competition-rules.html"
Biscione1750,"Thursday afternoon, red Stelvio in Bracknell Waitrose parking lot."
scaryshark,Funnily enough I'm just hopping over from the Giulia section to say that I saw a blue Stelvio on the A92 today!First ever Stelvio I've seen on the road other than people taking them out for test drives when I went to pick up my car a few months ago
markies,"Aside from my own, I have seen a white one on A421 last month, A red one heading south on A1 nr Newark a week ago and a black one in Royston"
osney,Are you a Fifer then? Or sensible and just passing through...
markies,Red Stelvio in Banyan's Car Park Royston today.
mgslusso,Monte Carlo Blue Stelvio spotted in Gullane yesterday (Also saw two Giulias an hour before heading north on A1 just south of Edinburgh).
cue2,"Spotted one from inside. My wife and I test drove a nice blue Milano edition. Pretty impressive drive with the 20"" wheels and faultless auto trans even for my wife who doesn't like autos. It's on the list!"
alfadick,"Stelvio,before turning to Sheernes/Maidstone,grey 18 reg."
Biscione1750,Which blue was it? I'm pretty much decided on Monte Carlo blue i.e if I actually buy the car.I'm dropping the 4C for service and they have promised me a Stelvio as a courtesy car.
cue2,The blue was Misano.Nice.
lussoman,"First two spots for me:1 silver, 1 grey, and both in Funchal of all places.Hopefully it'll be just as long before I see another..."
scaryshark,Not anymore! Just visiting the folks
TheGrimJeeper,Nice Airport: Avis have a good fleet of 'em. :thumbs:
richardlansom,"Spotted my 1st Stelvio, a dark blue 18 plate in Stratford upon Avon last Saturday. My other half was paying that much attention to it that she stumbled off the kerb."
jparkin486,A black stelvio driving through Wraysbury this afternoon. I was in the red Giulietta behind the AM DBS!!I did a small wave as I had a client with me so trying not to appear mad and waving at passing cars!!
gazhants,first ever! white stelvio at dibden purlieu / hythe
cue2,"Saw three Stelvia in a couple of days in Spain last week, and no Giulias. Looks ok."
,
TheGrimJeeper,Saw another red one at the supermarket yesterday driven by a bunch of teenagers.60 plate so it was probably one of the rentals from Nice airport!
matty74,At the supermarket Agay in France this morning. Loads of Alfas in FranceSent from my iPhone using Tapatalk
matty74,"Spotted my first Stelvio Quad today on the coast road between Agay and St Raphaelin black and looking the part, in a lovely part of the world, despite today’s torrential rainSent from my iPhone using Tapatalk"
horsepower27,Goodwood yesterday. Maybe 20+ Stelvios and the first batch of Stelvio QFs. Amazing carSent from my SM-G950F using Tapatalk
cue2,"Black Stelvio on the M25.Read the number plate , only to discover why it was a Bristol reg. It's one of the Alfa Fleet Demonstrators."
cozenskyle,"Spotted yesterday in Thornbury, Bristol. There’s a few round Bristol I’ve seen."
JoyOfGood,At the 02:30 mark on Billions.
paddypower205,At last! I finally spotted a Stelvio out in the wild that wasn't my own.A nice black one in Banbridge Town in the County Down.
TheGrimJeeper,Red QV today. Hubba.
garethb,Red Q.V. on Italian plates on the M61 Wednesday evening
David P,"August Detailing competition now open for entrieshttps://www.alfaowner.com/Forum/car-detailing/1166663-august-2018-detailing-competition-entries.htmlDon't let the title put you off, it doesn't have to be a full detail, a wash & a clean will do, if the car looks good take some pics & submit them, please include some info on what you have done to the car :thumbs:Check out the updated rules herehttps://www.alfaowner.com/Forum/car-detailing/745785-monthly-detailing-competition-rules.htmlVoting now open for the previous entrieshttps://www.alfaowner.com/Forum/poll-room/1166661-july-2018-ao-detailing-competition-vote.htmlVote for whoever you think deserves to win :thumbs:"
dan_vdp,"Misano Blue Stelvio in Lingfield, Surrey on Saturday morning. I was behind in the Giulia for a couple of miles.Looks smart from the rear in that colour.The first I have seen in the wild in the UK.Sent from my iPhone using Tapatalk"
David P,"A 182 C Misano Blue Stelvio Milano on Forge Hill, looked stunning on 20"" alloys with yellow calipers."
jparkin486,Another misano blue Stelvio spotted! Was at the A43/M40 junction. On a private plate too.:vs_wave:
jparkin486,Another misano blue Stelvio spotted! Was at the A43/M40 junction. On a private plate too.:vs_wave:
jparkin486,"White Milano Edition driving in to Spofforth this afternoon.Beats looking at the masses of Evoques, Velars and Disco Sports round here!!:vs_wave:"
duemila,In the past week I've seen about 6 stelvios in Normandy nice to see them on the road
stuart1714,What’s this big lump next to my Giulia?This is still the only one ‘I’ve seen in the wild and I know the owner.
lussoman,A tank? Or the big ugly brother.Take your pick.
PapaSmurf,Neither. The car that will ensure Alfa has a future. :judge:
cue2,"Saw three Stelvia in a couple of days in Spain last week, and no Giulias. Looks ok."
,
David P,"Voting now open for the previous entrieshttps://www.alfaowner.com/Forum/poll-room/1168333-august-2018-ao-detailing-competition-vote.htmlVote for whoever you think deserves to win :thumbs:September Detailing competition now open for entrieshttps://www.alfaowner.com/Forum/car...ember-2018-detailing-competition-entries.htmlDon't let the title put you off, it doesn't have to be a full detail, a wash & a clean will do, if the car looks good take some pics & submit them, please include some info on what you have done to the car :thumbs:Check out the updated rules herehttps://www.alfaowner.com/Forum/car-detailing/745785-monthly-detailing-competition-rules.html"
jparkin486,3 spots today on my trip from Reading to Tadcaster. A montecarlo blue one and silver one on the M1 heading south and a black one on the M18.I doubt you saw me waving from the opposite carriageway so hiya :vs_wave:
daz1701d,Black Stelvio featured a few times in latest episode of series Billions..... Some good exposure with slow drive bySent from my Redmi Note 3 using Tapatalk
markies,White Stelvio spotted heading south bound on A1 north beds on Thu morning - I was north bound around 8:45am
David P,"Voting now open for the previous entrieshttps://www.alfaowner.com/Forum/poll-room/1169669-september-2018-ao-detailing-competition-vote.htmlVote for whoever you think deserves to win :thumbs:October Detailing competition now open for entrieshttps://www.alfaowner.com/Forum/car...tober-2018-detailing-competition-entries.htmlDon't let the title put you off, it doesn't have to be a full detail, a wash & a clean will do, if the car looks good take some pics & submit them, please include some info on what you have done to the car :thumbs:Check out the updated rules herehttps://www.alfaowner.com/Forum/car-detailing/745785-monthly-detailing-competition-rules.html"
Ruskins,https://club-ottomobile.com/en/december/353-alfa-romeo-stelvio-quadrifoglio.html
jparkin486,Alfa Red stelvio heading west at lunchtime on the M4 at Reading. Complete with roofbox too.I was just pulling off to go to the Mad Stad.:thumbu p:
cue2,I saw the red Stelvio last week on the M25 and it didn't have a roof box on it.
normallybuybmw,White Stelvio parked in Castle Stuart golf course car park yesterday 28/10/2018.
David P,A Misano Blue Stelvio QF & at least 5 or 6 more Stelvios at the Alfa test drive event today in Corkhttps://www.alfaowner.com/Forum/mee...ce-18th-november-2018-fota-island-resort.html:thumbs:
TOX1C,Red Stelvio QF in Salisbury this afternoon - about 3:45. Obviously a demo as it was emblazoned with Alfa Romeo Stelvio Quadrifoglio down its flank. Mrs prefers the Giulia!
markies,Huge wave from Montecarlo blue Stevio on Sat near Ettington about 1pm as I was heading away from the Stelvio QF drive at Caffeine and Machine
cue2,"I saw three Stelvios today. But that's because I went to Motovillage to take a look with a view to buying one. The scale is deceptive in that it seems smaller before you're right next to it!My wife and I have already driven it and we are looking to go down to one car, replacing the Giulietta and Kuga. It fits the bill. So it's a case of choosing the colour and spec..."
virtualm,"Comp red Stelvio QF spotted this morning! First one I've seen, very rare moment. I was in Uckfield coming out of the ESN hotel, anybody on here? I was in my Giulia QF but didn't exchange a wave as the Stelvio was crossing a roundabout in the opposite direction to the way I was going."
Gator1,"OK, not a Stelvio, but I spotted (and took pictures) of a giulietta quadrifoglio in 'enemy' territory :devious:: Passau Germany, 2 days ago. I had to take pictures among all the BMWs, AUDIs, Mercs. Left '27' of the license plate to see if the owner will chime in. I have a Stelvio - could not find one :grumpy:"
David P,"There's a ""Giulietta spotted"" threadhttps://www.alfaowner.com/Forum/alfa-giulietta/240265-giuliettas-spotted.html"
Gator1,Super! will re-quote. Thanks.
markies,Was warmly complimented on the beauty of the Stelvio by a gentleman filling his A5 at Asda in Leamington on Sat morning. To say he was enthusing would be an understatement
cue2,I look forward to this experience from the middle of next week.
cue2,We have taken our pick. SUV it will be.
cue2,"Saw three Stelvia in a couple of days in Spain last week, and no Giulias. Looks ok."
,
markies,Bet you can't waitEnjoy cue2
markies,Agreed the Stelvio isn't as pretty as the Giulia on 1st looks but the more you look at it the more you realise is the prettiest SUV on the road.Like all things subjective though - it's a matter of personal taste. We don't all like mushrooms on our pizza - or even pineapple
markies,If any of you are on twitter - check out@Themudlifeukthe dirtiest coolest looking Stelvio pics I've seen to date
jparkin486,Montecarlo blue Stelvio heading west on the M4 near Membury services around lunchtime today. It had roofbras fitted.Maybe cue2 sticking some mileage on his new toy now he has time on his hands!!:vs_wave:
cue2,Not me.Went to Essex to hand in my security pass and I don't remember going in that direction.
cue2,"Warm silver grey Speciale with roof rails parked on Palace View , Bromley today."
lussoman,"Navy blue one parked up on Beach Street, Lytham, yesterday afternoon.Almost didn't notice it, such is the prevalence of 'S'UVs these days. Pottering around quiet side streets looking for somewhere to park, so I put the Spider in reverse for another look to confirm. The other half was nonplussed, despite her general liking for the brand."
VeloceMitch,"Stelvio heading up Ainsty Road at about 17.30pm last night, couldn't see the colour.Visitor or new owner local to me?"
Sweeney70,Yep that was me.FAME AT LAST :cheeky:Picked it up three months ago and live in the Bromley area.My first Alfa and love my Stelvio!!!I had a bit of service work yesterday and got a Giulia as a courtesy car and that was pretty cool too.
lussoman,"Another dark blue one. Blackpool Road, Preston, near PNE, 11am today.That huge 'mouth' can be spotted a mile away!"
cue2,I thought you said the Stelvio looks like all the other SUVs?
lussoman,You'll find the fronts are generally different in an attempt to maintain their corporate identity...
cue2,Two Stelvios in the course of a week; one black and the other an Alfa red. Both in central Copenhagen.
alcooker,"I’ve been working in America for the last week, pretty chuffed with how many Stelvios I’ve seen. On the 2 hour drive up the I-95 from Miami airport, I saw 2 Stelvios and 1 very dark, almost vintage Alfa/Ferrari red Guilia QF whcih looked awesome in a sea of crap cars. Another Stelvio in Palm Beach, 4 Stelvios in NYC and now just grabbed a pic of one in Boston and I only got here last night.Okay, that’s not many cars, but it’s great to see that the US are daring and probably well chuffed to buy Alfa’s again.Main point being, they look so good, you lucky folk, and I always seem to clock them even if they’re right at the edge of my peripheral vision."
cue2,"Black Stelvio parked in Sundridge Park, Bromley."
lussoman,"Grey one with yellow calipers.Stopped at traffic lights on Garstang Road / St. George's Road junction in Preston, 4.30pm today."
paddypower205,"I spent 3 days in Milan recently. I was hoping to see a lot more Stelvios than normal, and I was pleased that I saw about 10 or more of them. Interestingly, I saw considerably fewer Giulias during the same period."
cue2,I spent the day yesterday at Geneva show with a friend from Rome and he tells me the Giulia has been “a flop” and had the impression the Stelvio is more premium here than in Italy.
cue2,"Oh and there was a white Stelvio Quadrifoglio parked in the next row to mine in the blue car park at Gatwick yesterday. It had an RE68 registration, I think, which means it’s from Fiat Uk or Thames Slough generally. Looked better plain than the F1 style car on the show stand perhaps."
jparkin486,Montecarlo blue stelvio on the M25 near the M40 junction. It was heading north ( can't say if that was clockwise as I only had a digital watch on!)
cue2,"Saw three Stelvia in a couple of days in Spain last week, and no Giulias. Looks ok."
,
cue2,Wasn’t me. I’ve got an alibi.
dan_vdp,Interesting. It would be good to see the numbers. I was told by one of the top Alfa dealers in the UK that they are struggling to sell the Stelvio.Sent from my iPhone using Tapatalk
cue2,"Yes, it’s funny what salesman will say to flatter a customer about their choice. The Giulia stays below £40k if you’re careful but the only good spec Stelvios are over the magic £40k where tax gets more expensive in year 2 for me. As I’ve said, my Italian friend tells me the Giulia has flopped but the Stelvio is doing OK but their tax setup is different."
dan_vdp,Odd comment. I do have a Giulia Quadrifoglio on order with him but that was not relevant to the discussion at the time.Sent from my iPhone using Tapatalk
cue2,"In my experience , salesmen say some strange things. The Alfa guy I’ve bought from twice now did say that most people on their “drive the Quadrifoglio “ weekend the Giulia was more popular than the Stelvio.Still, it’s probably the £40k thing."
dan_vdp,Neither Quadrifoglios are anywhere near £40k though?Sent from my iPhone using Tapatalk
cue2,"No. But it was something a salesman said to me , after I’d bought a Stelvio. Not before."
dan_vdp,"It’s true, I have heard some real clangers from salesmen.The numbers will tell the story.Sent from my iPhone using Tapatalk"
cue2,https://www.howmanyleft.co.uk/?utf8=✓&q=Alfa+Romeo+stelvio&commit=SearchNot many.
cue2,"Still, the residuals on the Alfa deals look a better percentage based on the final payment figures for a Stelvio than a Giulia."
dan_vdp,Yes I looked at that. According to their numbers there are almost as many Giulia QFs as there are Stelvios (all trims) on the road. Obviously the Stelvio hasn’t been available as long.Sent from my iPhone using Tapatalk
cue2,Silver/grey Speciale driving along Kensington High St.
fangio63,Buddied up with a Red Stelvio heading South on the M40 friday evening for about 30 miles as far as the Risborough turn off... Anyone here ?
markies,Silver '19 plate today on the A14 and A1 - not often you get two driving in convoy for a bit...
jparkin486,"(Yet another!!) Montecarlo Blue Stelvio spotted this morning on the M5 heading south, just passed Taunton. There was a grey Giulia about 5 minutes behind it."
daz1701d,Montecarlo blue Stelvio in Braehead Centre car park near GlasgowSent from my POCOPHONE F1 using Tapatalk
fangio63,"Crikey, a bit of a flurry of activity .. I've still only seen the one in the wild and no other Quads .. perhaps I need to get out more .."
jparkin486,Belated spot from yesterdayA white Milano Edition followed me out of the business park in Theale. Let very looking in white (Lovely looking driver too!!). She wasn’t in the car park today :vs_sad:
fangio63,Nice weather must have brought them out !.. Nice grey one on the M4 heading west through the roadworks J11and a Blue one on local road close to me..Still no Quads tho..
cue2,An Alfa red Milano on the A20 near Crittall’s Corner London bound.
cue2,"Saw three Stelvia in a couple of days in Spain last week, and no Giulias. Looks ok."
,
Tim65,"No one spotted me yet!Mind you, I have only seen two others in Bristol."
cue2,Are you sure that’s not just reflections in a shop window?
jparkin486,An Alfa red stelvio on the A33 near Sherfield this morning and then a Montecarlo blue one on the A43 near Silverstone.
markies,Red one on A505 between Hitchin & Luton on Tue 09/04 about 4pm
SteveeGee,"Black 18 reg one, west bound on Edinburgh bypass, 22nd April about midday. I was going East. The only Stelvio seen in 4 days and 500 miles in Scotland!"
daz1701d,"Comp Red Stelvio QV in Edinburgh City Centre, just off Lothian Rd lunchtime todayAnd a second black Stelvio in East Kilbride (that's not mine) on SaturdaySent from my POCOPHONE F1 using Tapatalk"
cue2,Milano Blue Stelvio Quadrifoglio. But then I was at the local dealers booking in to get the alarm adjusted!
paddypower205,"Red Stelvio on A26 airport road near Moira. Unfortunately I wasn't in my red Stelvio at the time, so I didn't even bother trying an Alfa wave. I was impressed at its distinctive road presence."
jparkin486,"Stromboli grey Stelvio on the A30 near Exeter this lunchtime. Heading towards the M5.Not many Alfa's out on the road today between Theale and Helston in Cornwall not even me, I'm in a Transit Connect this week!"
leraunch,Spotted my first ever Stelvio out and about on Wednesday on the M6 between Junctions 4 and 2. My Red Stelvio following a Metallic Grey Stelvio in a convoy for 5 miles through the roadworks amongst a sea of dull grey/black German vehicles.
Big Chris 1209,"Red Stelvio going south on the A5 diversion Milton Keynes, about 9 this morning. Crash barrier in the way so couldn't see the plate."
markies,Red Stelvio - lady driver on A507 between Shefford and Henlow yesterday evening. I think it's the same one as the 1st one I saw on the road the day I picked up mine.
cue2,Saw an Alfa red Stelvio Super near Staplefield in Sussex on our cycle club ride to Brighton today. My son asked what did our Speciale have that the Super doesn’t. “Special things” I said.
jparkin486,A stunning 19 plate Vulcano black Nero Edition Stelvio in Tunbridge Wells Sainsburys car park today.Looked absolutely awesome!I was with a work colleague so no photos as he wouldn't understand!
cue2,Another Black Stelvio Nero. Parked in Chatterton road Bromley. Looked pretty mean in the dark last night.
jparkin486,Montecarlo Blue stelvio in the lanes south of Reading this lunchtime.Id been out walking round the fishing lakes. I didn't wave but admired you from what felt like a very low position!!MC blue appears to be a very popular colour. A bit like white Giuliettas.
cue2,"I was never a fan of Giuliettas in “bianco white”.Always preferred the “Rosso Red”!Not for a Stelvio, so much."
fangio63,Seen that one a few times in Earley Nr Reading..
jparkin486,She's back!!Needs a bit of a wash. It's not glowing in the sunshine
Sweeney70,"Well after two months of not seeing another Stelvio, I see two in the space of ten minutes today.Grey one coming into Homebase car park in Bromley as I was leaving. Managed to acknowledge each other briefly on the way past.And then a blue one with roof bars parked up only yards from my house in Bromley as well.Quite excited to see othersarty:"
cue2,"Saw three Stelvia in a couple of days in Spain last week, and no Giulias. Looks ok."
,
cue2,That was mine with the roofbars. I was visiting a friend who to see how their building work is going and to borrow a tool from him for putting the headset and bottom bracket in my sons new carbon mtb frame.
cue2,Silver Speciale southbound on M23 today. Strangely unfinished looking in that (un)colour?
cue2,‘18 reg Milano in Misano on the road out from Bromley near Locksbottom.
paddypower205,"A Misano Blue Stelvio in the little village of Maghaberry, Co Antrim. It was a great evening for Alfa bingo. During a 15 minute walk through the village, as well as the Stelvio, I saw a Giulia, which may have been a Quadrifoglio, a Giulietta and a Mito."
jparkin486,Followed a misano blue Milano Edizione down the A33 from Reading this evening.Plus the lesser spotted white Milano in Theale again today. A good Stelvio dayI was in the mini so here's a wave :vs_wave: now
jparkin486,"A Stromboli grey Nero Edizione with the Petal wheels heading in to Reading this morning.Seemingly on the increase in this part of Berkshire/Hampshire as I regularly see 2 MC blue ones, a white Milano, and hopefully the Misano blue one as well as the Nero.Probably find they are just WLMG demo cars being driven around! Still they brighten my commute"
lussoman,Navy blue one sat in the traffic heading into Harrogate this afternoon.
Sweeney70,Hi allsaw a red QF in Meopham in Kent last week and today saw a white one near Hayes in Kent as well.A little bit more frequent now but still pretty exclusive :rotate:
jparkin486,Passed a red Stelvio near Windermere this morning.Nice no. plate spelling A Romeo!:vs_wave:
dan_vdp,"450 miles today, Surrey to Derby and back. Not a single Stelvio (or Giulia) spotted.I did meet a forum member at Beechdale though. He recognised my number plateSent from my iPhone using Tapatalk"
matty74,"Nice Stelvio / Giulia convoy up the M61 this afternoon.Waves exchanged, Stelvio was Silver T10 NYL, I was in the GiuliaSent from my iPhone using Tapatalk"
W1NST,Spotted my new Stelvio outside my house tonight after I picked it up from Pentagon Doncaster today. Their ex demo Speciale diesel 210 - 9 months old. Yes I know it has black alloys which most of you don’t like but I do and it would be a boring world if we all liked the same thing.
cue2,"Yeah ! What’s with the black wheels?Looks like a police car where they’ve taken the hub caps off!Seriously , it looks pretty mean like that."
markies,It looks very mean. Enjoy it?
lussoman,I'll look out for your new tank W1NST.What part of Preston are you in? Was it Walton-le-Dale?
W1NST,Yes WLD - you might have seen us around Preston before in Alfa’s with the reg W12 NST. This new one will have my other plate W1 NST on it when the V5 comes through next week. So keep your eye out for it and give me the Alfa wave! Won’t be difficult to spot - there aren’t many Stelvios around are there!
W1NST,Just realised - if your Spider is white I think I saw you going down the hill at London Road last week with the top down going towards the Capitol Centre!
lussoman,"It'll only be a matter of time before I spot you in that car! I've seen a couple in Preston - a silver one and a dark blue one, but only the once for each.Haven't noticed your number plate on Alfas in the area, but it is distinctive.Yes, that was me going down London Road taking advantage of the glorious weather! I was on my way to see a client on Hennel Lane, followed by one in Leyland."
NuovaApe,"Didn't think I'd ever ""me too"" but saw my 1st Stelvio QV in the flesh outside Tonbridge train station a few Sundays ago and I was like a boy seeing his first naked lady in a magazine. My chin was resting on my shoes.It was black and mean with those halo wheels I love and that badge of respect that makes you smile. It was perfect.The gent and I were both buying tickets from the machine and I so wanted to say ""RACE MODE?"", but decided to not waste time and go out for another look.As I walked away I kept looking over my shoulder for one last look.Only an Alfa Romeo makes you do that. Or a naked lady."
W1NST,Only an Alfa Romeo makes you do that. Or a naked lady.[/QUOTE]You don’t see many naked ladies in car parks though!
cue2,"Saw three Stelvia in a couple of days in Spain last week, and no Giulias. Looks ok."
,
markies,Love it ?You don’t see many naked ladies in car parks though![/QUOTE]
Big Chris 1209,"HI I saw a white Stelvio with red strips over the roof & a Red serpent on the bonnet, this Saturday in Rooksley Milton Keynes.Stunning."
cue2,Sounds like this?
Big Chris 1209,That looks like the one.
paultrim,"Stelvio parked outside Starbucks, Middlewich this afternoon, very nice looking motor :thumbs:"
dan_vdp,Two Stelvios today! Both on the M1 heading south. One red (towing a motorbike - see pic) one white 280 (Milano/Speciale?).Sent from my iPhone using Tapatalk
markies,Red one spotted at A600/A507 roundabout
